procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  1      0 12636152 679064 1086300    0    0     0 20268 41458 71144 12 11 67  9  0  0 2026-09-08 15:08:17
 5  1      0 12633972 680584 1087516    0    0     0 20136 41407 71211 12 12 68  9  0  0 2026-09-08 15:08:18
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu------- -----timestamp-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu                 CST
 4  1      0 12631268 682204 1088848    0    0     0 20676 42895 73882 12 12 67  9  0  0 2026-09-08 15:08:19
 2  2      0 12627644 683840 1090120    0    0     0 20464 43201 74825 14 10 66  9  0  0 2026-09-08 15:08:20
 3  1      0 12625412 685284 1091212    0    0     0 19628 41727 72380 14 11 66  9  0  0 2026-09-08 15:08:21
 3  1      0 12618736 686856 1096740    0    0     0 24232 42718 73735 13 12 66  9  0  0 2026-09-08 15:08:22
 1  1      0 12617028 688308 1097932    0    0     0 19488 42543 73556 15 12 65  9  0  0 2026-09-08 15:08:23
 5  0      0 12613656 689744 1099200    0    0     0 20432 43909 75923 14 11 65  9  0  0 2026-09-08 15:08:24
 4  1      0 12611116 691320 1100384    0    0     0 19968 43698 75583 15 12 64  9  0  0 2026-09-08 15:08:25
 4  0      0 12607196 692624 1102604    0    0     0 19724 40934 70438 17 13 60  9  0  0 2026-09-08 15:08:26
 1  2      0 12603640 694020 1104600    0    0     0 19692 41325 70996 16 14 61  9  0  0 2026-09-08 15:08:27
